time,open,high,low,close,tick_volume,spread,real_volume
2026-08-11 05:40:00,159.272,159.299,159.272,159.294,290,3,0
2026-08-11 05:45:00,159.295,159.3,159.272,159.283,317,3,0
2026-08-11 05:50:00,159.283,159.29,159.268,159.283,237,3,0
2026-08-11 05:55:00,159.283,159.296,159.251,159.264,394,3,0
2026-08-11 06:00:00,159.264,159.264,159.214,159.252,371,3,0
2026-08-11 06:05:00,159.252,159.265,159.223,159.231,304,3,0
2026-08-11 06:10:00,159.233,159.25,159.228,159.231,241,3,0
2026-08-11 06:15:00,159.231,159.236,159.19,159.194,230,3,0
2026-08-11 06:20:00,159.194,159.217,159.188,159.208,247,3,0
2026-08-11 06:25:00,159.208,159.211,159.163,159.171,342,3,0
2026-08-11 06:30:00,159.172,159.172,159.142,159.158,308,3,0
2026-08-11 06:35:00,159.158,159.182,159.153,159.177,237,3,0
2026-08-11 06:40:00,159.177,159.211,159.172,159.207,189,3,0
2026-08-11 06:45:00,159.206,159.21,159.195,159.197,229,3,0
2026-08-11 06:50:00,159.197,159.208,159.168,159.169,247,3,0
2026-08-11 06:55:00,159.169,159.211,159.166,159.206,164,3,0
2026-08-11 07:00:00,159.206,159.207,159.181,159.191,164,3,0
2026-08-11 07:05:00,159.191,159.205,159.181,159.202,192,3,0
2026-08-11 07:10:00,159.202,159.207,159.184,159.189,177,3,0
2026-08-11 07:15:00,159.189,159.191,159.162,159.177,238,3,0
2026-08-11 07:20:00,159.177,159.181,159.173,159.176,143,3,0
2026-08-11 07:25:00,159.176,159.181,159.172,159.181,105,3,0
2026-08-11 07:30:00,159.181,159.213,159.18,159.211,347,3,0
2026-08-11 07:35:00,159.211,159.211,159.197,159.207,233,3,0
2026-08-11 07:40:00,159.207,159.241,159.206,159.22,263,3,0
2026-08-11 07:45:00,159.22,159.249,159.22,159.247,246,3,0
2026-08-11 07:50:00,159.249,159.251,159.224,159.229,219,3,0
2026-08-11 07:55:00,159.228,159.23,159.188,159.189,190,3,0
2026-08-11 08:00:00,159.189,159.211,159.183,159.206,212,3,0
2026-08-11 08:05:00,159.205,159.212,159.191,159.193,181,3,0
2026-08-11 08:10:00,159.192,159.207,159.191,159.2,198,3,0
