time,open,high,low,close,tick_volume,spread,real_volume
2026-08-10 06:30:00,158.16,158.181,158.153,158.181,275,3,0
2026-08-10 06:35:00,158.181,158.202,158.171,158.2,268,3,0
2026-08-10 06:40:00,158.2,158.223,158.186,158.198,321,3,0
2026-08-10 06:45:00,158.198,158.2,158.171,158.177,306,3,0
2026-08-10 06:50:00,158.177,158.202,158.177,158.194,178,3,0
2026-08-10 06:55:00,158.194,158.205,158.186,158.198,213,3,0
2026-08-10 07:00:00,158.198,158.214,158.198,158.214,200,3,0
2026-08-10 07:05:00,158.214,158.256,158.213,158.24,235,3,0
2026-08-10 07:10:00,158.24,158.265,158.238,158.251,231,3,0
2026-08-10 07:15:00,158.251,158.281,158.248,158.281,185,3,0
2026-08-10 07:20:00,158.28,158.281,158.243,158.246,222,3,0
2026-08-10 07:25:00,158.247,158.267,158.236,158.267,280,3,0
2026-08-10 07:30:00,158.267,158.28,158.257,158.261,168,3,0
2026-08-10 07:35:00,158.261,158.276,158.261,158.273,155,3,0
2026-08-10 07:40:00,158.274,158.277,158.263,158.273,216,3,0
2026-08-10 07:45:00,158.273,158.274,158.234,158.242,256,3,0
2026-08-10 07:50:00,158.243,158.251,158.228,158.25,250,3,0
2026-08-10 07:55:00,158.249,158.341,158.249,158.337,399,3,0
2026-08-10 08:00:00,158.338,158.353,158.308,158.31,520,3,0
2026-08-10 08:05:00,158.31,158.342,158.299,158.342,315,3,0
2026-08-10 08:10:00,158.341,158.375,158.33,158.364,303,3,0
2026-08-10 08:15:00,158.364,158.383,158.349,158.382,266,3,0
2026-08-10 08:20:00,158.382,158.387,158.349,158.36,213,3,0
2026-08-10 08:25:00,158.361,158.382,158.333,158.337,215,3,0
2026-08-10 08:30:00,158.337,158.367,158.332,158.351,255,3,0
2026-08-10 08:35:00,158.35,158.362,158.308,158.322,419,3,0
2026-08-10 08:40:00,158.322,158.366,158.314,158.364,308,3,0
2026-08-10 08:45:00,158.364,158.366,158.347,158.349,233,3,0
2026-08-10 08:50:00,158.349,158.349,158.319,158.339,282,3,0
2026-08-10 08:55:00,158.34,158.351,158.331,158.341,271,3,0
2026-08-10 09:00:00,158.34,158.376,158.335,158.374,428,3,0
2026-08-10 09:05:00,158.374,158.375,158.347,158.363,282,3,0
2026-08-10 09:10:00,158.363,158.447,158.359,158.416,410,3,0
2026-08-10 09:15:00,158.416,158.435,158.379,158.428,690,3,0
2026-08-10 09:20:00,158.428,158.435,158.405,158.424,362,3,0
2026-08-10 09:25:00,158.424,158.453,158.416,158.416,258,3,0
2026-08-10 09:30:00,158.416,158.427,158.407,158.415,268,3,0
2026-08-10 09:35:00,158.415,158.427,158.409,158.417,213,3,0
2026-08-10 09:40:00,158.417,158.435,158.399,158.404,220,3,0
2026-08-10 09:45:00,158.404,158.409,158.35,158.376,409,3,0
2026-08-10 09:50:00,158.377,158.412,158.376,158.397,350,3,0
2026-08-10 09:55:00,158.397,158.399,158.362,158.381,294,3,0
2026-08-10 10:00:00,158.382,158.448,158.379,158.447,546,3,0
2026-08-10 10:05:00,158.447,158.463,158.428,158.437,578,3,0
2026-08-10 10:10:00,158.437,158.456,158.427,158.452,411,3,0
2026-08-10 10:15:00,158.452,158.46,158.43,158.454,431,3,0
2026-08-10 10:20:00,158.454,158.488,158.438,158.45,397,3,0
2026-08-10 10:25:00,158.449,158.476,158.43,158.462,443,3,0
2026-08-10 10:30:00,158.462,158.523,158.462,158.502,487,3,0
2026-08-10 10:35:00,158.502,158.515,158.469,158.502,552,3,0
2026-08-10 10:40:00,158.502,158.52,158.452,158.465,496,3,0
2026-08-10 10:45:00,158.466,158.508,158.404,158.504,631,3,0
2026-08-10 10:50:00,158.504,158.522,158.479,158.5,467,3,0
2026-08-10 10:55:00,158.5,158.5,158.484,158.487,397,3,0
2026-08-10 11:00:00,158.486,158.498,158.436,158.463,633,3,0
2026-08-10 11:05:00,158.463,158.492,158.46,158.49,404,3,0
2026-08-10 11:10:00,158.49,158.5,158.454,158.46,428,3,0
2026-08-10 11:15:00,158.46,158.49,158.459,158.48,393,3,0
2026-08-10 11:20:00,158.48,158.488,158.463,158.485,274,3,0
2026-08-10 11:25:00,158.485,158.495,158.468,158.489,333,3,0
2026-08-10 11:30:00,158.489,158.586,158.484,158.572,700,3,0
2026-08-10 11:35:00,158.572,158.576,158.524,158.553,907,3,0
2026-08-10 11:40:00,158.552,158.572,158.532,158.562,481,3,0
2026-08-10 11:45:00,158.562,158.621,158.542,158.619,477,3,0
2026-08-10 11:50:00,158.619,158.677,158.613,158.675,663,3,0
2026-08-10 11:55:00,158.675,158.682,158.656,158.663,346,3,0
2026-08-10 12:00:00,158.663,158.736,158.662,158.736,388,3,0
2026-08-10 12:05:00,158.736,158.737,158.675,158.676,407,3,0
2026-08-10 12:10:00,158.676,158.698,158.651,158.651,341,3,0
2026-08-10 12:15:00,158.653,158.693,158.649,158.69,280,3,0
2026-08-10 12:20:00,158.69,158.699,158.649,158.656,218,3,0
2026-08-10 12:25:00,158.656,158.684,158.652,158.681,263,3,0
2026-08-10 12:30:00,158.681,158.734,158.68,158.726,279,3,0
2026-08-10 12:35:00,158.726,158.777,158.725,158.775,391,3,0
2026-08-10 12:40:00,158.775,158.788,158.731,158.775,428,3,0
2026-08-10 12:45:00,158.776,158.835,158.776,158.828,363,3,0
2026-08-10 12:50:00,158.827,158.835,158.812,158.826,416,3,0
2026-08-10 12:55:00,158.826,158.855,158.825,158.848,347,3,0
2026-08-10 13:00:00,158.848,158.875,158.838,158.861,420,3,0
2026-08-10 13:05:00,158.861,158.892,158.833,158.868,508,3,0
2026-08-10 13:10:00,158.869,158.869,158.843,158.85,307,3,0
2026-08-10 13:15:00,158.85,158.867,158.835,158.848,208,3,0
2026-08-10 13:20:00,158.848,158.851,158.737,158.803,857,3,0
2026-08-10 13:25:00,158.803,158.826,158.786,158.795,502,3,0
2026-08-10 13:30:00,158.795,158.823,158.768,158.78,556,3,0
2026-08-10 13:35:00,158.78,158.82,158.768,158.788,497,3,0
2026-08-10 13:40:00,158.789,158.816,158.768,158.782,332,3,0
2026-08-10 13:45:00,158.782,158.798,158.73,158.752,479,3,0
2026-08-10 13:50:00,158.752,158.775,158.737,158.775,399,3,0
2026-08-10 13:55:00,158.775,158.794,158.758,158.786,317,3,0
2026-08-10 14:00:00,158.786,158.795,158.739,158.761,448,3,0
2026-08-10 14:05:00,158.761,158.84,158.76,158.813,520,3,0
2026-08-10 14:10:00,158.813,158.834,158.805,158.808,384,3,0
2026-08-10 14:15:00,158.808,158.815,158.773,158.775,395,3,0
2026-08-10 14:20:00,158.776,158.813,158.77,158.812,394,3,0
2026-08-10 14:25:00,158.812,158.813,158.774,158.79,416,3,0
2026-08-10 14:30:00,158.79,158.828,158.785,158.803,274,3,0
2026-08-10 14:35:00,158.803,158.825,158.801,158.801,255,3,0
2026-08-10 14:40:00,158.801,158.832,158.792,158.822,290,3,0
2026-08-10 14:45:00,158.822,158.869,158.818,158.854,396,3,0
2026-08-10 14:50:00,158.855,158.875,158.848,158.851,309,3,0
2026-08-10 14:55:00,158.851,158.861,158.817,158.817,311,3,0
2026-08-10 15:00:00,158.817,158.833,158.792,158.813,396,3,0
2026-08-10 15:05:00,158.812,158.816,158.413,158.638,1435,3,0
2026-08-10 15:10:00,158.638,158.728,158.622,158.691,591,3,0
2026-08-10 15:15:00,158.69,158.73,158.686,158.704,651,3,0
2026-08-10 15:20:00,158.705,158.769,158.663,158.753,446,3,0
2026-08-10 15:25:00,158.754,158.794,158.739,158.748,464,3,0
2026-08-10 15:30:00,158.748,158.78,158.744,158.779,414,3,0
2026-08-10 15:35:00,158.779,158.804,158.761,158.789,396,3,0
2026-08-10 15:40:00,158.789,158.864,158.78,158.86,396,3,0
2026-08-10 15:45:00,158.86,158.873,158.846,158.856,486,3,0
2026-08-10 15:50:00,158.856,158.948,158.846,158.947,542,3,0
2026-08-10 15:55:00,158.947,158.947,158.919,158.942,461,3,0
2026-08-10 16:00:00,158.942,158.955,158.907,158.952,453,3,0
2026-08-10 16:05:00,158.953,158.98,158.927,158.93,591,3,0
2026-08-10 16:10:00,158.93,158.934,158.903,158.908,363,3,0
2026-08-10 16:15:00,158.908,158.934,158.904,158.918,298,3,0
2026-08-10 16:20:00,158.918,158.941,158.905,158.928,376,3,0
2026-08-10 16:25:00,158.928,158.953,158.923,158.923,379,3,0
2026-08-10 16:30:00,158.923,158.971,158.913,158.94,532,3,0
2026-08-10 16:35:00,158.94,158.976,158.935,158.976,404,3,0
2026-08-10 16:40:00,158.976,158.988,158.965,158.98,395,3,0
2026-08-10 16:45:00,158.98,159.017,158.863,159.016,860,3,0
2026-08-10 16:50:00,159.016,159.065,159.011,159.024,733,3,0
2026-08-10 16:55:00,159.025,159.027,158.932,159.015,880,3,0
2026-08-10 17:00:00,159.015,159.017,158.98,158.991,567,3,0
2026-08-10 17:05:00,158.991,158.992,158.963,158.984,548,3,0
2026-08-10 17:10:00,158.983,158.983,158.9,158.929,620,3,0
2026-08-10 17:15:00,158.929,158.929,158.875,158.882,564,3,0
2026-08-10 17:20:00,158.882,158.907,158.861,158.903,449,3,0
2026-08-10 17:25:00,158.903,158.931,158.88,158.886,590,3,0
2026-08-10 17:30:00,158.886,158.943,158.881,158.932,498,3,0
2026-08-10 17:35:00,158.931,158.955,158.919,158.926,475,3,0
2026-08-10 17:40:00,158.925,158.942,158.901,158.905,430,3,0
2026-08-10 17:45:00,158.905,158.907,158.869,158.898,535,3,0
2026-08-10 17:50:00,158.898,158.942,158.898,158.925,568,3,0
2026-08-10 17:55:00,158.925,158.97,158.918,158.936,669,3,0
2026-08-10 18:00:00,158.936,158.979,158.886,158.971,788,3,0
2026-08-10 18:05:00,158.971,159.007,158.968,158.983,459,3,0
2026-08-10 18:10:00,158.983,158.996,158.956,158.958,314,3,0
2026-08-10 18:15:00,158.958,158.964,158.891,158.896,533,3,0
2026-08-10 18:20:00,158.897,158.901,158.856,158.89,517,3,0
2026-08-10 18:25:00,158.89,158.947,158.884,158.907,474,3,0
2026-08-10 18:30:00,158.908,158.951,158.897,158.949,405,3,0
2026-08-10 18:35:00,158.95,158.95,158.915,158.917,397,3,0
2026-08-10 18:40:00,158.917,158.948,158.91,158.935,525,3,0
2026-08-10 18:45:00,158.935,158.941,158.916,158.929,519,3,0
2026-08-10 18:50:00,158.929,158.931,158.902,158.913,360,3,0
2026-08-10 18:55:00,158.913,158.937,158.899,158.903,375,3,0
2026-08-10 19:00:00,158.903,158.931,158.894,158.93,510,3,0
2026-08-10 19:05:00,158.93,158.931,158.911,158.92,314,3,0
2026-08-10 19:10:00,158.92,158.941,158.915,158.94,173,3,0
2026-08-10 19:15:00,158.94,158.95,158.918,158.927,266,3,0
2026-08-10 19:20:00,158.927,158.939,158.925,158.937,172,3,0
2026-08-10 19:25:00,158.937,158.94,158.928,158.93,189,3,0
2026-08-10 19:30:00,158.931,159.005,158.927,158.978,704,3,0
2026-08-10 19:35:00,158.977,158.978,158.939,158.951,319,3,0
2026-08-10 19:40:00,158.952,159.003,158.951,159.0,402,3,0
2026-08-10 19:45:00,159.0,159.008,158.986,158.991,356,3,0
2026-08-10 19:50:00,158.991,159.022,158.979,159.018,303,3,0
2026-08-10 19:55:00,159.018,159.043,159.005,159.035,342,3,0
2026-08-10 20:00:00,159.035,159.101,159.026,159.083,387,3,0
2026-08-10 20:05:00,159.082,159.162,159.081,159.147,590,3,0
2026-08-10 20:10:00,159.147,159.159,159.103,159.105,325,3,0
2026-08-10 20:15:00,159.105,159.141,159.102,159.123,299,3,0
2026-08-10 20:20:00,159.124,159.137,159.116,159.117,263,3,0
2026-08-10 20:25:00,159.117,159.127,159.099,159.102,430,3,0
2026-08-10 20:30:00,159.102,159.102,159.072,159.094,191,3,0
2026-08-10 20:35:00,159.094,159.11,159.091,159.094,249,3,0
2026-08-10 20:40:00,159.095,159.108,159.079,159.106,210,3,0
2026-08-10 20:45:00,159.106,159.138,159.105,159.135,213,3,0
2026-08-10 20:50:00,159.135,159.135,159.114,159.133,196,3,0
2026-08-10 20:55:00,159.133,159.144,159.133,159.136,185,3,0
2026-08-10 21:00:00,159.136,159.136,159.103,159.107,342,3,0
2026-08-10 21:05:00,159.107,159.139,159.107,159.135,175,3,0
2026-08-10 21:10:00,159.135,159.142,159.134,159.14,72,3,0
2026-08-10 21:15:00,159.14,159.175,159.14,159.175,174,3,0
2026-08-10 21:20:00,159.174,159.187,159.17,159.176,215,3,0
2026-08-10 21:25:00,159.176,159.179,159.162,159.164,206,3,0
2026-08-10 21:30:00,159.164,159.176,159.09,159.149,604,3,0
2026-08-10 21:35:00,159.149,159.171,159.149,159.165,116,3,0
2026-08-10 21:40:00,159.165,159.167,159.154,159.162,229,3,0
2026-08-10 21:45:00,159.162,159.197,159.162,159.195,199,3,0
2026-08-10 21:50:00,159.194,159.358,159.185,159.262,810,3,0
2026-08-10 21:55:00,159.267,159.276,159.217,159.236,441,3,0
2026-08-10 22:00:00,159.236,159.247,159.223,159.245,324,3,0
2026-08-10 22:05:00,159.245,159.254,159.235,159.253,305,4,0
2026-08-10 22:10:00,159.253,159.26,159.236,159.241,282,4,0
2026-08-10 22:15:00,159.241,159.277,159.233,159.262,190,4,0
2026-08-10 22:20:00,159.262,159.264,159.235,159.25,181,4,0
2026-08-10 22:25:00,159.25,159.279,159.249,159.279,181,4,0
2026-08-10 22:30:00,159.279,159.322,159.272,159.317,236,4,0
2026-08-10 22:35:00,159.317,159.36,159.289,159.36,284,4,0
2026-08-10 22:40:00,159.36,159.361,159.294,159.307,302,4,0
2026-08-10 22:45:00,159.307,159.322,159.292,159.3,286,4,0
2026-08-10 22:50:00,159.301,159.302,159.276,159.277,283,4,0
2026-08-10 22:55:00,159.277,159.3,159.273,159.3,332,4,0
2026-08-10 23:00:00,159.3,159.321,159.284,159.291,173,4,0
2026-08-10 23:05:00,159.291,159.315,159.291,159.3,99,4,0
2026-08-10 23:10:00,159.301,159.314,159.294,159.313,77,4,0
2026-08-10 23:15:00,159.313,159.324,159.312,159.314,85,4,0
2026-08-10 23:20:00,159.314,159.327,159.314,159.327,34,4,0
2026-08-10 23:25:00,159.327,159.343,159.327,159.336,100,4,0
2026-08-10 23:30:00,159.336,159.338,159.321,159.337,79,4,0
2026-08-10 23:35:00,159.336,159.338,159.309,159.317,111,4,0
2026-08-10 23:40:00,159.317,159.321,159.306,159.313,100,4,0
2026-08-10 23:45:00,159.313,159.313,159.294,159.295,116,4,0
2026-08-10 23:50:00,159.295,159.306,159.293,159.294,506,20,0
2026-08-10 23:55:00,159.294,159.302,159.279,159.283,515,22,0
2026-08-11 00:00:00,159.282,159.282,159.062,159.185,51,37,0
