0,predicted,actual,se,mse
150,159.31887817382812,159.335,0.00025991327911641034,
151,159.31968688964844,159.326,3.9855362310922336e-05,
152,159.32000732421875,159.326,3.591216301910127e-05,
153,159.3203125,159.322,2.8476562500092087e-06,
154,159.32040405273438,159.298,0.0005019415789245744,
155,159.3192901611328,159.297,0.0004968512833268768,
156,159.31817626953125,159.32,3.3259928226222147e-06,0.0015058553458252185
157,159.31826782226562,159.314,1.8214306891024673e-05,
158,159.31805419921875,159.32,3.786140680286565e-06,
159,159.31814575195312,159.331,0.00016523169285030334,
160,159.31878662109375,159.331,0.0001491666243073603,
161,159.31939697265625,159.309,0.00010809704041486219,
162,159.31887817382812,159.283,0.0012872433572420838,
163,159.31707763671875,159.271,0.0021231486055863346,
164,159.3147735595703,159.266,0.002378860113159687,
165,159.3123321533203,159.261,0.0026349899645005132,
166,159.3097686767578,159.279,0.000946711469426975,
167,159.3082275390625,159.269,0.0015387998208995352,
168,159.30625915527344,159.245,0.003752684104814568,0.0012589111033977944
169,159.30319213867188,159.134,0.028625979788367673,
170,159.29473876953125,159.124,0.029151727421046932,
171,159.28619384765625,159.124,0.02630684421754038,
172,159.278076171875,159.156,0.014902591739653097,
173,159.27197265625,159.192,0.0063956257476795,
174,159.26797485351562,159.212,0.0031331842260968984,
175,159.2651824951172,159.199,0.004380122659934922,
176,159.26187133789062,159.212,0.0024871503430019776,
177,159.25938415527344,159.24,0.00037574547566438226,
178,159.2584228515625,159.25,7.094442844390869e-05,
179,159.25799560546875,159.254,1.5964863061979406e-05,
180,159.25779724121094,159.277,0.00036874594511041064,0.00968455223796684
181,159.25875854492188,159.259,5.830055474565199e-08,
182,159.25877380371094,159.273,0.00020238466085482568,
183,159.25949096679688,159.289,0.0008707830405823823,
184,159.26097106933594,159.36,0.0098067291084704,
185,159.26593017578125,159.348,0.006735456047298688,
186,159.27003479003906,159.312,0.0017610788470665602,
187,159.27212524414062,159.29,0.0003195068970319764,
188,159.2730255126953,159.282,8.054142238218892e-05,
189,159.27346801757812,159.273,2.190404534376086e-07,
190,159.2734375,159.302,0.0008158164062495713,
191,159.27487182617188,159.283,6.606720978000553e-05,
192,159.27528381347656,159.271,1.8351057902093426e-05,0.001723082669885573
193,159.2750701904297,159.224,0.002608164350525613,
194,159.27252197265625,159.222,0.0025524697210780227,
195,159.26998901367188,159.242,0.0007833848863249529,
