time,open,high,low,close,tick_volume,spread,real_volume
2026-07-16 01:40:00,162.096,162.108,162.09,162.106,28,17,0
2026-07-16 01:45:00,162.106,162.116,162.106,162.109,29,4,0
2026-07-16 01:50:00,162.11,162.135,162.103,162.12,32,4,0
2026-07-16 01:55:00,162.12,162.134,162.109,162.119,52,7,0
2026-07-16 02:00:00,162.119,162.119,162.106,162.107,51,4,0
2026-07-16 02:05:00,162.107,162.115,162.107,162.109,57,4,0
2026-07-16 02:10:00,162.109,162.112,162.085,162.086,38,4,0
2026-07-16 02:15:00,162.086,162.097,162.061,162.061,145,4,0
2026-07-16 02:20:00,162.063,162.082,162.061,162.082,91,5,0
2026-07-16 02:25:00,162.082,162.093,162.076,162.093,101,4,0
2026-07-16 02:30:00,162.09,162.097,162.069,162.077,114,4,0
2026-07-16 02:35:00,162.078,162.081,162.074,162.078,107,4,0
2026-07-16 02:40:00,162.078,162.089,162.069,162.074,122,4,0
2026-07-16 02:45:00,162.074,162.074,162.05,162.051,221,4,0
2026-07-16 02:50:00,162.051,162.07,162.031,162.064,224,4,0
2026-07-16 02:55:00,162.064,162.079,162.048,162.072,237,4,0
2026-07-16 03:00:00,162.072,162.125,162.064,162.123,440,3,0
2026-07-16 03:05:00,162.123,162.13,162.083,162.101,257,3,0
2026-07-16 03:10:00,162.1,162.101,162.071,162.077,308,3,0
2026-07-16 03:15:00,162.077,162.085,162.053,162.067,502,3,0
2026-07-16 03:20:00,162.065,162.099,162.065,162.078,428,3,0
2026-07-16 03:25:00,162.078,162.081,162.067,162.072,187,3,0
2026-07-16 03:30:00,162.072,162.123,162.07,162.112,290,3,0
2026-07-16 03:35:00,162.111,162.119,162.092,162.093,284,3,0
2026-07-16 03:40:00,162.093,162.095,162.064,162.08,301,3,0
2026-07-16 03:45:00,162.081,162.09,162.069,162.089,305,3,0
2026-07-16 03:50:00,162.09,162.147,162.048,162.128,680,3,0
2026-07-16 03:55:00,162.128,162.132,162.086,162.096,483,3,0
2026-07-16 04:00:00,162.096,162.102,162.078,162.086,355,3,0
2026-07-16 04:05:00,162.086,162.092,162.074,162.082,286,3,0
2026-07-16 04:10:00,162.082,162.089,162.05,162.065,338,3,0
2026-07-16 04:15:00,162.065,162.099,162.058,162.078,450,3,0
2026-07-16 04:20:00,162.078,162.078,162.031,162.031,489,3,0
2026-07-16 04:25:00,162.033,162.05,162.027,162.047,289,3,0
2026-07-16 04:30:00,162.047,162.065,162.031,162.062,392,3,0
2026-07-16 04:35:00,162.062,162.081,162.056,162.08,336,3,0
2026-07-16 04:40:00,162.08,162.081,162.059,162.066,279,3,0
2026-07-16 04:45:00,162.065,162.074,162.061,162.074,269,3,0
2026-07-16 04:50:00,162.074,162.103,162.072,162.101,324,3,0
2026-07-16 04:55:00,162.101,162.116,162.093,162.106,255,3,0
2026-07-16 05:00:00,162.106,162.119,162.099,162.116,257,3,0
2026-07-16 05:05:00,162.116,162.139,162.113,162.135,256,3,0
2026-07-16 05:10:00,162.135,162.165,162.125,162.161,331,3,0
2026-07-16 05:15:00,162.161,162.166,162.133,162.138,267,3,0
2026-07-16 05:20:00,162.138,162.142,162.105,162.111,334,3,0
2026-07-16 05:25:00,162.111,162.119,162.1,162.101,254,3,0
2026-07-16 05:30:00,162.101,162.128,162.098,162.099,321,3,0
2026-07-16 05:35:00,162.099,162.143,162.086,162.122,284,3,0
2026-07-16 05:40:00,162.123,162.142,162.12,162.128,331,3,0
2026-07-16 05:45:00,162.128,162.142,162.123,162.136,287,3,0
2026-07-16 05:50:00,162.136,162.152,162.125,162.14,161,3,0
2026-07-16 05:55:00,162.14,162.165,162.139,162.149,252,3,0
2026-07-16 06:00:00,162.147,162.158,162.134,162.139,300,3,0
2026-07-16 06:05:00,162.135,162.143,162.111,162.115,354,3,0
2026-07-16 06:10:00,162.115,162.13,162.107,162.124,238,3,0
2026-07-16 06:15:00,162.125,162.126,162.088,162.09,260,3,0
2026-07-16 06:20:00,162.09,162.103,162.09,162.1,234,3,0
2026-07-16 06:25:00,162.1,162.101,162.081,162.09,303,3,0
2026-07-16 06:30:00,162.091,162.096,162.073,162.074,297,3,0
2026-07-16 06:35:00,162.074,162.079,162.07,162.073,238,3,0
